Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788677068,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788677069,20,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,10,0,310,291.73555000452325,147.0158000010997,312.48749990481883,133.1
1788677070,30,,Aggregated,0.000000,0.000000,170,300,310,310,310,310,310,310,310,310,310,22,0,160,178.02238635803488,4.26560000050813,312.48749990481883,133.54545454545453
1788677071,40,,Aggregated,0.000000,0.000000,34,150,170,300,310,310,310,310,310,310,310,42,0,34,112.31496190330724,4.26560000050813,312.48749990481883,133.66666666666666
1788677072,50,,Aggregated,8.000000,0.000000,29,110,150,170,310,310,310,310,310,310,310,55,0,29,93.45500363587317,3.5155999939888716,312.48749990481883,133.70909090909092
1788677073,60,,Aggregated,9.666667,0.000000,28,36,110,150,300,310,310,310,310,310,310,80,0,28,73.11155374918599,3.445400041528046,312.48749990481883,126.8625
1788677074,70,,Aggregated,13.000000,0.000000,25,30,43,95,170,310,310,310,310,310,310,108,0,25,58.76207407305224,3.445400041528046,312.48749990481883,121.55555555555556
1788677075,80,,Aggregated,13.400000,0.000000,21,29,34,36,150,300,310,310,310,310,310,141,0,21,48.79259432464547,3.445400041528046,312.48749990481883,119.78014184397163
1788677076,90,,Aggregated,15.500000,0.000000,18,26,30,34,150,300,310,310,310,310,310,174,0,18,42.131522985512454,3.284099977463484,312.48749990481883,114.88505747126437
1788677077,100,,Aggregated,17.142857,0.000000,16,26,30,33,96,170,310,310,310,310,310,206,0,16,38.40847281079052,3.284099977463484,312.48749990481883,114.6747572815534
1788677078,110,,Aggregated,19.125000,0.000000,14,23,28,31,79,160,310,310,310,310,310,242,0,14,34.60771941545242,3.1374000245705247,312.48749990481883,112.60330578512396
1788677079,120,,Aggregated,20.777778,0.000000,14,22,28,30,43,150,310,310,310,310,310,284,0,14,31.8064330913074,3.0546000925824046,312.48749990481883,111.58098591549296
1788677080,130,,Aggregated,21.500000,0.000000,14,21,27,30,37,150,310,310,310,310,310,328,0,14,29.650187493932275,3.0546000925824046,312.48749990481883,111.3170731707317
1788677081,140,,Aggregated,25.400000,0.000000,13,20,26,29,36,120,300,310,310,310,310,373,0,13,27.662597849450744,3.0546000925824046,312.48749990481883,112.67828418230563
1788677082,150,,Aggregated,28.200000,0.000000,12,18,25,28,36,95,300,310,310,310,310,431,0,12,25.785860320036743,3.0546000925824046,312.48749990481883,110.79814385150812
1788677083,160,,Aggregated,31.000000,0.000000,12,17,23,27,35,79,170,310,310,310,310,488,0,12,24.04453421629904,2.557600033469498,312.48749990481883,110.23360655737704
1788677084,170,,Aggregated,33.200000,0.000000,12,17,23,26,34,73,170,310,310,310,310,538,0,12,23.06380129629594,2.557600033469498,312.48749990481883,109.46096654275092
1788677085,180,,Aggregated,37.500000,0.000000,11,16,21,25,34,44,160,310,310,310,310,595,0,11,21.947852601766773,2.557600033469498,312.48749990481883,109.1310924369748
1788677086,190,,Aggregated,40.500000,0.000000,11,15,20,24,33,41,160,310,310,310,310,659,0,11,20.950308039908798,2.557600033469498,312.48749990481883,108.1350531107739
1788677087,200,,Aggregated,43.000000,0.000000,11,15,20,23,33,41,150,300,310,310,310,720,0,11,20.34022069177202,2.557600033469498,312.48749990481883,108.11944444444444
1788677088,210,,Aggregated,45.300000,0.000000,11,15,20,23,34,43,150,300,310,310,310,804,0,11,19.856514798828275,2.557600033469498,312.48749990481883,107.91791044776119
1788677089,220,,Aggregated,48.000000,0.000000,11,15,19,23,32,41,150,300,310,310,310,880,0,11,19.129462270145517,2.557600033469498,312.48749990481883,107.13181818181818
